Examination,Date,Question Number,Question Type,Standard,Cluster,Domain,Scoring Key,1,2,3,4,Blank,Question,Percentage Correct,Standard.Cluster,Question Text
Algebra I,August '15,4,MC,A-APR,B,Arithmetic with Polynomials and Rational Expressions,1,58.43%,20.10%,10.11%,10.94%,0.42%,https://docs.google.com/a/newvisions.org/document/d/1sLwTrA_4QEbt09IYhO25Lx0DXbHQp391dW1BcjFUY3o/edit?usp=drivesdk,0.58,A-APR.B,The graph of f(x) is shown below? Which function could represent the graph of f(x)?
Algebra I,August '15,5,MC,A-CED,A,Creating Equations,4,7.41%,10.38%,29.96%,52.11%,0.13%,https://docs.google.com/a/newvisions.org/document/d/1FfGqdYkl1jMzKGYSW4vlAajDptOA4-IPA82D3UoAoBs/edit?usp=drivesdk,0.52,A-CED.A,"The cost of a pack of chewing gum in the vending machine is $0.75. The cost of bottle of juice in the same machine $1.25. Julia has $22.00 to spend on chewing gum and bottles of juice for her team and she must buy seven packs of chewing gum. If b represents the number of bottles of juice, which inequality represents the maximum number of bottles she can buy?"
Algebra I,August '15,2,MC,A-CED,A,Creating Equations,3,20.52%,21.48%,46.23%,11.49%,0.29%,https://docs.google.com/a/newvisions.org/document/d/1wMn6WssAjQ440K_ueswfH8isRorjm9gi8fBl2zKnmFw/edit?usp=drivesdk,0.46,A-CED.A,Rowan has $50 in a savings jar and is putting in $5 every week. Jonah has $10 in his own jar and is putting in $15 every week. Each of them plots his progress on a graph with time on the horizontal axis and amount in the jar on the vertical axis. Which statement about their graphs is true?
Algebra I,August '15,10,MC,A-REI,C,Reasoning with Equations and Inequalities,2,7.32%,48.66%,14.58%,29.12%,0.33%,https://docs.google.com/a/newvisions.org/document/d/1kiDn3QRWgThmPiALNYA0TtFmJ9PVlQnGD-u7QW9G44c/edit?usp=drivesdk,0.49,A-REI.C,"Last week, a candle store received $355.60 for selling 20 candles. Small candles sell for $10.98 and large candles sell for $27.98. How many large candles did the store sell?"
Algebra I,August '15,17,MC,A-REI,D,Reasoning with Equations and Inequalities,2,16.49%,37.24%,12.59%,33.41%,0.27%,https://docs.google.com/a/newvisions.org/document/d/1rufPu3P8OTvapPQeCxNTsGe9bHUebzxR7MMxz5C-E-U/edit?usp=drivesdk,0.37,A-REI.D,"If f (x) = x2 - 2x - 8 and g(x) = 14x - 1, for which values of x is f(x) = g (x)?"
Algebra I,August '15,23,MC,A-REI,B,Reasoning with Equations and Inequalities,3,39.87%,21.11%,28.51%,10.13%,0.38%,https://docs.google.com/a/newvisions.org/document/d/1umALkCgMHmMbCSASeabQGnpzvNjEBBUKLBKBnn57BKs/edit?usp=drivesdk,0.29,A-REI.B,The solution of the equation (x + 3)2 = 7 is
Algebra I,August '15,6,MC,A-REI,D,Reasoning with Equations and Inequalities,3,17.62%,20.25%,46.95%,14.66%,0.52%,https://docs.google.com/a/newvisions.org/document/d/1XkcYyZ2Uxe6D9HNA8k8V51fiQ5YZhFm6eIz0aiEIzWg/edit?usp=drivesdk,0.47,A-REI.D,Which graph represents the solution of y ≤ x + 3 and y ≥ -2x - 2?
Algebra I,August '15,9,MC,A-SSE,A,Seeing Structure in Expressions,3,31.78%,14.10%,45.25%,8.75%,0.11%,https://docs.google.com/a/newvisions.org/document/d/1eiL9nyIXDSRX0qStmQFEMbTcWOJ9rORuBL_VCOzDG_I/edit?usp=drivesdk,0.45,A-SSE.A,Four expressions are shown below. The expression 4x2- 4 x - 120 is equivalent to
Algebra I,August '15,20,MC,A-SSE,B,Seeing Structure in Expressions,1,29.39%,29.48%,21.42%,19.25%,0.46%,https://docs.google.com/a/newvisions.org/document/d/1JT-z_IETDYhyLlsw_qrj8yEotb2dZwc5tzKRKkhj6Xc/edit?usp=drivesdk,0.29,A-SSE.B,"If Lylah completes the square for f(x) = x2 - 12x + 7 in order to find the minimum, she must write f(x) in the general form f(x) = (x - a)2 + b. What is the value of a for f(x)?"
Algebra I,August '15,13,MC,A-SSE,B,Seeing Structure in Expressions,4,16.55%,19.62%,20.34%,43.31%,0.17%,https://docs.google.com/a/newvisions.org/document/d/1L0SZMQKGLaYGuEOvlYwOYmBaAQ03X9hqOeJKOQYWojs/edit?usp=drivesdk,0.43,A-SSE.B,The zeros of the function f(x) = 3x2 - 3x - 6 are
Algebra I,August '15,3,MC,A-SSE,A,Seeing Structure in Expressions,4,6.07%,9.85%,18.33%,65.61%,0.13%,https://docs.google.com/a/newvisions.org/document/d/1Q9duPVfzudfbMZJ7_LnL1ulltUdfw63wKYz3hXAWF9s/edit?usp=drivesdk,0.66,A-SSE.A,"To watch a varsity basketball game, spectators must buy a ticket at the door. The cost of an adult ticket is $3.00 and the cost of a student ticket is $1.50. If the number of adult tickets sold is represented by a and student tickets sold by s, which expression represents the amount of money collected at the door from the ticket sales?"
Algebra I,August '15,1,MC,F-BF,B,Building Functions,2,26.67%,50.48%,11.57%,11.15%,0.13%,https://docs.google.com/a/newvisions.org/document/d/1kQtaTyc5NUFrL7P0AP4QtVRIOO4bMsHeq8nvqTGGKV0/edit?usp=drivesdk,0.50,F-BF.B,"Given the graph of the line represented by the equation f(x) = - 2x + b, if b is increased by 4 units, the graph of the new line would be shifted 4 units"
Algebra I,August '15,8,MC,F-BF,A,Building Functions,4,8.26%,8.16%,37.18%,46.15%,0.25%,https://docs.google.com/a/newvisions.org/document/d/1n5l8NrEzFhdVeVC-lX3WQu22lYCZtIWGyfbmIFSsSdA/edit?usp=drivesdk,0.46,F-BF.A,"A typical cell phone plan has a fixed base fee that includes a certain amount of data and an overage charge for data use beyond the plan. A cell phone plan charges a base fee of $62 and an overage charge of $30 per gigabyte of data that exceed 2 gigabytes. If C represents the cost and g represents the total number of gigabytes of data, which equation could represent this plan when more than 2 gigabytes are used?"
Algebra I,August '15,15,MC,F-IF,B,Interpreting Functions,1,22.49%,9.25%,40.00%,28.07%,0.19%,https://docs.google.com/a/newvisions.org/document/d/1-4eQ4hkx3pDQTQeRiR_3nznBqiP0FtOBxS4TtewDJ5Q/edit?usp=drivesdk,0.22,F-IF.B,Firing a piece of pottery in a kiln takes place at different temperatures for different amounts of time. The graph below shows the temperatures in a kiln while firing a piece of pottery after the kiln is preheated to 200°F. During which time interval did the temperature in the kiln show the greatest average rate of change?
Algebra I,August '15,21,MC,F-IF,C,Interpreting Functions,4,22.09%,25.21%,27.93%,24.21%,0.56%,https://docs.google.com/a/newvisions.org/document/d/16ImNaM35ZMiJwzFzRZUWlhEDfEO_wblXFnvk9ZLXdzo/edit?usp=drivesdk,0.24,F-IF.C,Given the following quadratic functions: Which statement about these functions is true?
Algebra I,August '15,14,MC,F-IF,A,Interpreting Functions,1,40.46%,13.05%,35.44%,10.57%,0.48%,https://docs.google.com/a/newvisions.org/document/d/18nIELUN56kBs0xXeI6rTazeRZ4-pYWzVjf73bjT1sYE/edit?usp=drivesdk,0.40,F-IF.A,Which recursively defined function has a first term equal to 10 and a common difference of 4?
Algebra I,August '15,16,MC,F-IF,C,Interpreting Functions,2,16.02%,40.08%,19.02%,24.54%,0.34%,https://docs.google.com/a/newvisions.org/document/d/1okDGcsRxp6GmyVIKtQT9y-5P25upubsHLOTv5_VCB58/edit?usp=drivesdk,0.40,F-IF.C,Which graph represents
Algebra I,August '15,12,MC,F-IF,A,Interpreting Functions,3,26.67%,29.25%,30.21%,13.43%,0.44%,https://docs.google.com/a/newvisions.org/document/d/1RyPx962I-5qNBYzctEOWsAVDBjoZx5iRwE2qaDH2vP4/edit?usp=drivesdk,0.30,F-IF.A,"If f(x) =2x+36x-5 , then f(12) ="
Algebra I,August '15,11,MC,F-IF,A,Interpreting Functions,2,18.97%,44.41%,11.05%,25.44%,0.13%,https://docs.google.com/a/newvisions.org/document/d/1y7fYF_NC6BY23vIHW7UvZOyW4U2IB2MVTYWlYqNVmhM/edit?usp=drivesdk,0.44,F-IF.A,Which representations are functions?
Algebra I,August '15,7,MC,F-LE,A,"Linear, Quadratic, and Exponential Models",3,6.38%,46.17%,43.49%,3.72%,0.25%,https://docs.google.com/a/newvisions.org/document/d/1881WSXUwSrpexdvy051yOUr36pTPm4t271UYIaO0i1Q/edit?usp=drivesdk,0.43,F-LE.A,The country of Benin in West Africa has a population of 9.05 million people. The population is growing at a rate of 3.1% each year. Which function can be used to find the population 7 years from now?
Algebra I,August '15,18,MC,F-LE,A,"Linear, Quadratic, and Exponential Models",3,25.44%,22.72%,34.71%,16.76%,0.36%,https://docs.google.com/a/newvisions.org/document/d/1P6-EgGHt6IruZP581AzvRwtNDsrbunvj0Pa7hu-li_w/edit?usp=drivesdk,0.35,F-LE.A,"Alicia has invented a new app for smart phones that two companies are interested in purchasing for a 2-year contract. Company A is offering her $10,000 for the first month and will increase the amount each month by $5000. Company B is offering $500 for the first month and will double their payment each month from the previous month. Monthly payments are made at the end of each month. For which monthly payment will company B s payment first exceed company As payment?"
Algebra I,August '15,22,MC,N-RN,B,The Real Number System,2,27.38%,37.62%,19.81%,14.94%,0.25%,https://docs.google.com/a/newvisions.org/document/d/13thdsPIJrj85Uz8rG1u-T6HnlHKPMF9UzJx6xxVTIfA/edit?usp=drivesdk,0.38,N-RN.B,For which value of P and W is P + W a rational number?
Algebra I,August '15,19,MC,S-ID,A,Interpreting Categorical and Quantitative Data,1,29.02%,20.63%,36.59%,13.35%,0.40%,https://docs.google.com/a/newvisions.org/document/d/1uUROnp-ouJMblqGpYv162zxBvxmHH7G45nvVA7FhJEQ/edit?usp=drivesdk,0.29,S-ID.A,The two sets of data below represent the number of runs scored by two different youth baseball teams over the course of a season. Which set of statements about the mean and standard deviation is true?
Algebra I,August '18,13,MC,A-APR,A,Arithmetic with Polynomials and Rational Expressions,1,32.76%,16.34%,17.10%,33.33%,0.47%,https://docs.google.com/document/d/1T5m_D4H03o8h8CcR8MW2ThxNngzeXc-g6woaWcwMPM0/edit?usp=drivesdk,0.33,A-APR.A,"If y = 3x3 + x2 - 5 and z = x2 -12, which polynomial is equivalent to 2(y + z)?"
Algebra I,August '18,9,MC,A-CED,A,Creating Equations,2,16.73%,53.13%,20.48%,9.52%,0.14%,https://docs.google.com/document/d/1ppW7QctxvCOvTsPKUlUuMxP8-muvxh0Vu8w-FQYIALw/edit?usp=drivesdk,0.53,A-CED.A,"Lizzy has 30 coins that total $4.80. All of her coins are dimes, D, and quarters, Q. Which system of equations models this situation?"
Algebra I,August '18,11,MC,A-CED,A,Creating Equations,4,15.16%,20.30%,25.04%,39.09%,0.40%,https://docs.google.com/document/d/1wPRTdwlqjGuaDFOJ5oxsoVVymD_Tb-_tZxGtoDlLVSY/edit?usp=drivesdk,0.39,A-CED.A,Three functions are shown below.Which statement is true?
Algebra I,August '18,22,MC,A-REI,C,Reasoning with Equations and Inequalities,3,16.13%,29.88%,33.19%,20.27%,0.53%,https://docs.google.com/document/d/16hQoH69Ho4uP4bRfA6_HViAeEINXgPXx54JjM1lWobs/edit?usp=drivesdk,0.33,A-REI.C,Which system of equations will yield the same solution as the system below?
Algebra I,August '18,4,MC,A-REI,B,Reasoning with Equations and Inequalities,2,20.34%,45.07%,12.28%,21.92%,0.39%,https://docs.google.com/document/d/1JPdItJ3wt0w7esiwbVqxjb03pQdElTvTH5qhYNYNEso/edit?usp=drivesdk,0.45,A-REI.B,The solution to -2(1 -4x) = 3x + 8 is
Algebra I,August '18,19,MC,A-REI,D,Reasoning with Equations and Inequalities,3,14.40%,20.15%,39.95%,25.15%,0.35%,https://docs.google.com/document/d/1UM4PSrS9K1yApEGdI6_MyBeo59rzLv6Qa03Vied0HfU/edit?usp=drivesdk,0.40,A-REI.D,"The functions f(x) and g(x) are graphed below. Based on the graph, the solutions to the equation f(x) =g(x) are "
Algebra I,August '18,18,MC,A-REI,D,Reasoning with Equations and Inequalities,1,26.76%,24.82%,22.66%,25.07%,0.69%,https://docs.google.com/document/d/1vm0U9GcCESwwEpr-0cEqixkDP0VEVvlMQUQurogJWzs/edit?usp=drivesdk,0.27,A-REI.D,Which point is not in the solution set of the equation 3y + 2 = x2 -5x +17?
Algebra I,August '18,24,MC,A-SSE,A,Seeing Structure in Expressions,3,21.18%,31.75%,25.03%,21.56%,0.49%,https://docs.google.com/document/d/14WOiwYr--m7A0l4oU3l7NXBfNsBiGe2vRtzeAgE4sfg/edit?usp=drivesdk,0.25,A-SSE.A,"The length, width, and height of a rectangular box are represented by 2x, 3x+1, and 5x-6, respectively. When the volume is expressed as a polynomial in standard form, what is the coefficient of the 2nd term?"
Algebra I,August '18,1,MC,A-SSE,B,Seeing Structure in Expressions,2,24.67%,54.00%,13.03%,8.15%,0.15%,https://docs.google.com/document/d/1gFvhSJaTWloSsL0VzkU0kjuG5UctRoQetrnH_467vgk/edit?usp=drivesdk,0.54,A-SSE.B,"The number of bacteria grown in a lab can be modeled by P(t) =300 • 24t , where t is the number of hours. Which expression is equivalent to P(t)?"
Algebra I,August '18,17,MC,A-SSE,A,Seeing Structure in Expressions,2,53.70%,25.06%,14.80%,6.26%,0.18%,https://docs.google.com/document/d/1jOKbOsF1fFYngGMG_ECqEvzSmXRWUPPMK6XaDihL300/edit?usp=drivesdk,0.25,A-SSE.A,"Each day, a local dog shelter spends an average of $2.40 on food per dog. The manager estimates the shelter’s daily expenses, assuming there is at least one dog in the shelter, using the function E(x) = 30 + 2.40x. Which statements regarding the function E(x) are correct? I. x represents the number of dogs at the shelter per day. II. x represents the number of volunteers at the shelter per day. III. 30 represents the shelter’s total expenses per day. IV. 30 represents the shelter’s nonfood expenses per day. "
Algebra I,August '18,3,MC,A-SSE,A,Seeing Structure in Expressions,3,10.37%,16.52%,52.58%,20.16%,0.37%,https://docs.google.com/document/d/1mKjFrvTDZqCUQcOoyEyienP3xAA8MYJB-VWh5bNuFaE/edit?usp=drivesdk,0.53,A-SSE.A,David correctly factored the expression m2 -12m -64. Which expression did he write?
Algebra I,August '18,16,MC,A-SSE,B,Seeing Structure in Expressions,2,22.55%,39.70%,23.36%,14.08%,0.30%,https://docs.google.com/document/d/1UW3WM7GT1lW7x0Ndl_smdLxRrZtOx7tbb7E9QpFv59A/edit?usp=drivesdk,0.40,A-SSE.B,"If f(x) =2x2 + x -3, which equation can be used to determine the zeros of the function?"
Algebra I,August '18,8,MC,A-SSE,A,Seeing Structure in Expressions,3,22.12%,18.96%,48.14%,10.52%,0.26%,https://docs.google.com/document/d/1VEojiy8TLiNPzAATx8WsLyE65gyF7-M6Ev92XDGQy30/edit?usp=drivesdk,0.48,A-SSE.A,"Compared to the graph of f(x) =x2, the graph of g(x) =(x -2)2 + 3 is the result of translating f(x)"
Algebra I,August '18,7,MC,F-BF,B,Building Functions,3,17.10%,13.66%,58.01%,10.96%,0.26%,https://docs.google.com/document/d/1UPIva_g36Yqn8Fj1r1FaQGivzoSPb0KZgz2AAW7UQYY/edit?usp=drivesdk,0.58,F-BF.B,The expression 4x2 -25 is equivalent to
Algebra I,August '18,20,MC,F-IF,A,Interpreting Functions,4,15.38%,21.51%,30.50%,32.22%,0.39%,https://docs.google.com/document/d/1B7_VwJswffKF0eAtKI3JBvFgVAtrtgWutUsESK22onM/edit?usp=drivesdk,0.32,F-IF.A,"For the sequence -27, -12, 3, 18, …, the expression that defines the nth term where a1 =-27 is"
Algebra I,August '18,10,MC,F-IF,C,Interpreting Functions,2,15.65%,40.48%,19.12%,24.51%,0.24%,https://docs.google.com/document/d/1bfa8S24mrKOiqIYHSzWu8O-7jpNl9eO2_TeVKZC56zQ/edit?usp=drivesdk,0.40,F-IF.C,Gretchen has $50 that she can spend at the fair. Ride tickets cost $1.25 each and game tickets cost $2 each. She wants to go on a minimum of 10 rides and play at least 12 games. Which system of inequalities represents this situation when r is the number of ride tickets purchased and g is the number of game tickets purchased?
Algebra I,August '18,5,MC,F-IF,A,Interpreting Functions,1,54.91%,13.11%,14.79%,16.73%,0.47%,https://docs.google.com/document/d/1dNTAW5IoBMRqf2hoQQ4FW4UatRnOeDh4QTwiDp1BvlU/edit?usp=drivesdk,0.55,F-IF.A,The graph of f(x) is shown below.What is the value of f(-3)? 
Algebra I,August '18,15,MC,F-IF,C,Interpreting Functions,4,16.26%,15.49%,33.36%,34.26%,0.64%,https://docs.google.com/document/d/1hbnWArpiWozBMZ10zd5RZMkNgFQbQUd8hn5sakiFEEs/edit?usp=drivesdk,0.34,F-IF.C,"If the function f(x) =x2 has the domain {0, 1, 4, 9}, what is its range?"
Algebra I,August '18,6,MC,F-IF,A,Interpreting Functions,2,21.72%,56.14%,13.44%,8.19%,0.51%,https://docs.google.com/document/d/1Qzx5r-fdCEHay60IV3N0d5Dt-FDNoeo70j1I1sv4Yno/edit?usp=drivesdk,0.56,F-IF.A,"When the function g(x) is graphed correctly, how should the points be drawn on the graph for an x-value of 3?"
Algebra I,August '18,23,MC,F-LE,A,"Linear, Quadratic, and Exponential Models",4,25.50%,14.90%,27.12%,32.22%,0.26%,https://docs.google.com/document/d/1s4WiJXRCWk9_iB4V8znC9yrguN5KtIodJyr-5yE94a0/edit?usp=drivesdk,0.32,F-LE.A,"If the function f(x) =x2 has the domain {0, 1, 4, 9}, what is its range?"
Algebra I,August '18,12,MC,N-Q,A,Quantities,3,11.06%,13.14%,49.67%,25.89%,0.25%,https://docs.google.com/document/d/1r_phNrlqTl00LVXv_1qIcQqbKdjHM-z5X5Q9o5nfvy4/edit?usp=drivesdk,0.50,N-Q.A,"Olivia entered a baking contest. As part of the contest, she needs to demonstrate how to measure a gallon of milk if she only has a teaspoon measure. She converts the measurement using the ratios below: Which ratio is incorrectly written in Olivia’s conversion?"
Algebra I,August '18,14,MC,S-ID,B,Interpreting Categorical and Quantitative Data,2,18.92%,41.46%,27.74%,11.53%,0.35%,https://docs.google.com/document/d/18u3Z7HAY4qAypwOLwJ6JAO6F2y-xIN523G-2pOrXPXY/edit?usp=drivesdk,0.41,S-ID.B,"An outdoor club conducted a survey of its members. The members were asked to state their preference between skiing and snowboarding. Each member had to pick one. Of the 60 males, 45 stated they preferred to snowboard. Twenty-two of the 60 females preferred to ski. What is the relative frequency that a male prefers to ski?"
