#,Problem ID,Correct,Attempts,Accuracy,Time Average,Cluster
30,2035578,"3,727","4,787",0.78,0 min 55 sec,Finding Coefficients of Polynomials
31,2035518,"3,671","4,716",0.78,1 min 04 sec,Finding Coefficients of Polynomials
32,2035521,"3,096","3,991",0.78,0 min 50 sec,Finding Coefficients of Polynomials
33,2035551,"3,123","4,033",0.77,0 min 48 sec,Finding Coefficients of Polynomials
34,2035564,"3,134","4,048",0.77,0 min 50 sec,Finding Coefficients of Polynomials
35,2035560,"3,059","3,965",0.77,0 min 50 sec,Finding Coefficients of Polynomials
36,2035534,"2,970","3,869",0.77,0 min 46 sec,Finding Coefficients of Polynomials
37,2035596,"3,089","4,026",0.77,0 min 53 sec,Finding Coefficients of Polynomials
38,2035514,"3,449","4,500",0.77,0 min 50 sec,Finding Coefficients of Polynomials
39,2035538,"3,007","3,933",0.77,0 min 55 sec,Finding Coefficients of Polynomials
40,2035513,"3,299","4,328",0.76,0 min 53 sec,Finding Coefficients of Polynomials
41,2035541,"3,062","4,019",0.76,0 min 55 sec,Finding Coefficients of Polynomials
42,2035559,"3,191","4,193",0.76,0 min 49 sec,Finding Coefficients of Polynomials
43,2035561,"3,328","4,380",0.76,0 min 50 sec,Finding Coefficients of Polynomials
44,2035533,"3,097","4,078",0.76,0 min 45 sec,Finding Coefficients of Polynomials
45,2035504,"3,547","4,697",0.76,0 min 57 sec,Finding Coefficients of Polynomials
46,2035556,"2,958","3,922",0.75,0 min 56 sec,Finding Coefficients of Polynomials
47,2035593,"3,342","4,432",0.75,0 min 57 sec,Finding Coefficients of Polynomials
48,2035524,"3,637","4,827",0.75,0 min 50 sec,Finding Coefficients of Polynomials
49,2035520,"3,479","4,626",0.75,0 min 56 sec,Finding Coefficients of Polynomials
50,2035550,"2,997","3,988",0.75,0 min 57 sec,Finding Coefficients of Polynomials
51,2035536,"3,324","4,432",0.75,0 min 56 sec,Finding Coefficients of Polynomials
52,2035573,"3,217","4,293",0.75,0 min 49 sec,Finding Coefficients of Polynomials
53,2035586,"2,994","4,011",0.75,0 min 55 sec,Finding Coefficients of Polynomials
54,2035548,"3,314","4,455",0.74,0 min 54 sec,Finding Coefficients of Polynomials
55,2035566,"3,475","4,670",0.74,0 min 56 sec,Finding Coefficients of Polynomials
56,2035595,"2,993","4,031",0.74,0 min 50 sec,Finding Coefficients of Polynomials
57,2035555,"2,970","4,018",0.74,0 min 54 sec,Finding Coefficients of Polynomials
58,2035501,"2,908","3,957",0.74,0 min 50 sec,Finding Coefficients of Polynomials
59,2035537,"3,295","4,481",0.74,0 min 52 sec,Finding Coefficients of Polynomials
60,2035539,"3,422","4,658",0.74,0 min 51 sec,Finding Coefficients of Polynomials
61,2035530,"2,987","4,067",0.73,0 min 49 sec,Finding Coefficients of Polynomials
62,2035540,"3,411","4,646",0.73,0 min 50 sec,Finding Coefficients of Polynomials
63,2035575,"2,935","3,998",0.73,0 min 53 sec,Finding Coefficients of Polynomials
64,2035592,"3,235","4,421",0.73,0 min 54 sec,Finding Coefficients of Polynomials
65,2035498,"2,994","4,103",0.73,0 min 49 sec,Finding Coefficients of Polynomials
66,2035554,"3,264","4,473",0.73,1 min 01 sec,Finding Coefficients of Polynomials
67,2035581,"2,907","3,996",0.73,0 min 57 sec,Finding Coefficients of Polynomials
68,2035574,"2,909","4,085",0.71,0 min 48 sec,Finding Coefficients of Polynomials
69,2035590,"2,946","4,139",0.71,0 min 57 sec,Finding Coefficients of Polynomials
70,2035526,"3,362","4,729",0.71,0 min 58 sec,Finding Coefficients of Polynomials
71,2035500,"2,863","4,074",0.70,0 min 57 sec,Finding Coefficients of Polynomials
72,2035517,"2,986","4,253",0.70,0 min 55 sec,Finding Coefficients of Polynomials
73,2035587,"2,908","4,164",0.70,0 min 50 sec,Finding Coefficients of Polynomials
74,2035571,"2,857","4,160",0.69,0 min 51 sec,Finding Coefficients of Polynomials
75,2035588,"2,842","4,154",0.68,0 min 59 sec,Finding Coefficients of Polynomials
76,2035546,"2,686","3,939",0.68,1 min 00 sec,Finding Coefficients of Polynomials
77,2035527,"2,908","4,283",0.68,0 min 56 sec,Finding Coefficients of Polynomials
78,2035580,"2,701","3,989",0.68,1 min 03 sec,Finding Coefficients of Polynomials
79,2035562,"2,921","4,322",0.68,0 min 52 sec,Finding Coefficients of Polynomials
80,2035535,"2,690","4,011",0.67,1 min 00 sec,Finding Coefficients of Polynomials
81,2035558,"3,090","4,606",0.67,0 min 50 sec,Finding Coefficients of Polynomials
82,2035583,"2,583","3,879",0.67,0 min 57 sec,Finding Coefficients of Polynomials
83,2035519,"2,845","4,311",0.66,0 min 50 sec,Finding Coefficients of Polynomials
84,2035549,"2,613","3,983",0.66,1 min 01 sec,Finding Coefficients of Polynomials
85,2035532,"2,657","4,101",0.65,1 min 04 sec,Finding Coefficients of Polynomials
86,2035547,"2,649","4,116",0.64,1 min 00 sec,Finding Coefficients of Polynomials
87,2035553,"2,691","4,200",0.64,0 min 58 sec,Finding Coefficients of Polynomials
88,2035572,"2,566","4,020",0.64,1 min 02 sec,Finding Coefficients of Polynomials
89,2035528,"2,679","4,204",0.64,1 min 05 sec,Finding Coefficients of Polynomials
90,2035570,"2,459","3,869",0.64,0 min 59 sec,Finding Coefficients of Polynomials
91,2035515,"2,489","3,933",0.63,1 min 01 sec,Finding Coefficients of Polynomials
92,2035597,"2,542","4,022",0.63,0 min 57 sec,Finding Coefficients of Polynomials
93,2035543,"2,596","4,149",0.63,1 min 01 sec,Finding Coefficients of Polynomials
94,2035509,"2,456","3,977",0.62,0 min 59 sec,Finding Coefficients of Polynomials
95,2035567,"2,597","4,220",0.62,1 min 02 sec,Finding Coefficients of Polynomials
96,2035525,"2,384","3,927",0.61,1 min 00 sec,Finding Coefficients of Polynomials
97,2035523,"2,272","4,163",0.55,1 min 08 sec,Finding Coefficients of Polynomials
98,2035531,"2,128","4,054",0.53,1 min 04 sec,Finding Coefficients of Polynomials
99,2035579,"1,921","3,932",0.49,1 min 10 sec,Finding Coefficients of Polynomials
100,2035585,"1,904","4,048",0.47,1 min 16 sec,Finding Coefficients of Polynomials
1,1810667,"18,659","24,888",0.75,1 min 07 sec,Polynomial Vocabulary
2,1810692,"18,853","25,261",0.75,1 min 08 sec,Polynomial Vocabulary
3,1810717,"18,450","25,527",0.72,1 min 13 sec,Polynomial Vocabulary
4,1810742,"18,622","25,920",0.72,1 min 15 sec,Polynomial Vocabulary
5,1810752,"18,129","25,324",0.72,1 min 13 sec,Polynomial Vocabulary
6,1810657,"17,568","24,860",0.71,1 min 12 sec,Polynomial Vocabulary
7,1810664,"18,687","26,495",0.71,1 min 24 sec,Polynomial Vocabulary
8,1810747,"17,591","25,136",0.70,1 min 09 sec,Polynomial Vocabulary
9,1810682,"17,421","24,979",0.70,1 min 14 sec,Polynomial Vocabulary
10,1810674,"17,034","24,458",0.70,1 min 23 sec,Polynomial Vocabulary
11,1810697,"17,310","24,905",0.70,1 min 12 sec,Polynomial Vocabulary
12,1810672,"17,241","24,833",0.69,1 min 13 sec,Polynomial Vocabulary
13,1810709,"17,195","25,112",0.69,1 min 31 sec,Polynomial Vocabulary
14,1810687,"16,504","24,113",0.68,1 min 18 sec,Polynomial Vocabulary
15,1810703,"17,030","24,900",0.68,1 min 27 sec,Polynomial Vocabulary
16,1810698,"16,579","24,865",0.67,1 min 18 sec,Polynomial Vocabulary
17,1810699,"16,703","25,090",0.67,1 min 20 sec,Polynomial Vocabulary
18,1810733,"16,517","24,793",0.67,1 min 27 sec,Polynomial Vocabulary
19,1810700,"16,388","25,118",0.65,1 min 37 sec,Polynomial Vocabulary
20,1810749,"16,236","24,894",0.65,1 min 27 sec,Polynomial Vocabulary
21,1810713,"15,877","24,424",0.65,1 min 34 sec,Polynomial Vocabulary
22,1810712,"16,242","25,109",0.65,1 min 15 sec,Polynomial Vocabulary
23,1810662,"15,671","24,394",0.64,1 min 19 sec,Polynomial Vocabulary
24,1810730,"16,022","25,030",0.64,1 min 36 sec,Polynomial Vocabulary
25,1810695,"15,919","24,911",0.64,1 min 20 sec,Polynomial Vocabulary
26,1810663,"16,421","25,802",0.64,1 min 20 sec,Polynomial Vocabulary
27,1810710,"15,821","24,883",0.64,1 min 42 sec,Polynomial Vocabulary
28,1810714,"16,975","26,716",0.64,1 min 26 sec,Polynomial Vocabulary
29,1810654,"15,591","24,596",0.63,1 min 27 sec,Polynomial Vocabulary
30,1810684,"15,885","25,186",0.63,1 min 29 sec,Polynomial Vocabulary
31,1810688,"15,402","24,426",0.63,1 min 25 sec,Polynomial Vocabulary
32,1810737,"15,686","24,870",0.63,1 min 17 sec,Polynomial Vocabulary
33,1810718,"16,309","25,883",0.63,1 min 18 sec,Polynomial Vocabulary
34,1810726,"15,354","24,371",0.63,1 min 31 sec,Polynomial Vocabulary
35,1810668,"15,481","24,796",0.62,1 min 24 sec,Polynomial Vocabulary
36,1810683,"15,349","24,614",0.62,1 min 19 sec,Polynomial Vocabulary
37,1810748,"15,704","25,148",0.62,1 min 19 sec,Polynomial Vocabulary
38,1810669,"15,499","24,925",0.62,1 min 15 sec,Polynomial Vocabulary
39,1810670,"15,686","25,225",0.62,1 min 23 sec,Polynomial Vocabulary
40,1810723,"16,034","25,804",0.62,1 min 18 sec,Polynomial Vocabulary
41,1810751,"14,978","24,108",0.62,1 min 37 sec,Polynomial Vocabulary
42,1810681,"15,403","24,839",0.62,1 min 16 sec,Polynomial Vocabulary
43,1810716,"15,861","25,571",0.62,1 min 25 sec,Polynomial Vocabulary
44,1810722,"14,749","23,920",0.62,1 min 26 sec,Polynomial Vocabulary
45,1810704,"15,305","24,836",0.62,1 min 22 sec,Polynomial Vocabulary
46,1810727,"15,062","24,440",0.62,1 min 24 sec,Polynomial Vocabulary
47,1810678,"14,957","24,308",0.62,1 min 26 sec,Polynomial Vocabulary
48,1810744,"15,279","24,837",0.62,1 min 14 sec,Polynomial Vocabulary
49,1810658,"15,531","25,293",0.61,1 min 22 sec,Polynomial Vocabulary
50,1810705,"15,532","25,397",0.61,1 min 24 sec,Polynomial Vocabulary
51,1810659,"15,030","24,640",0.61,1 min 40 sec,Polynomial Vocabulary
52,1810691,"15,312","25,167",0.61,1 min 37 sec,Polynomial Vocabulary
53,1810685,"15,332","25,267",0.61,1 min 42 sec,Polynomial Vocabulary
54,1810690,"15,158","24,992",0.61,1 min 38 sec,Polynomial Vocabulary
55,1810680,"15,704","25,932",0.61,1 min 32 sec,Polynomial Vocabulary
56,1810746,"15,189","25,152",0.60,1 min 36 sec,Polynomial Vocabulary
57,1810676,"14,653","24,407",0.60,1 min 31 sec,Polynomial Vocabulary
58,1810708,"14,812","24,668",0.60,1 min 25 sec,Polynomial Vocabulary
59,1810671,"14,539","24,366",0.60,1 min 34 sec,Polynomial Vocabulary
60,1810706,"14,880","25,085",0.59,1 min 38 sec,Polynomial Vocabulary
61,1810694,"14,549","24,676",0.59,1 min 28 sec,Polynomial Vocabulary
62,1810724,"14,567","24,738",0.59,1 min 28 sec,Polynomial Vocabulary
63,1810725,"14,360","24,378",0.59,1 min 29 sec,Polynomial Vocabulary
64,1810665,"14,427","24,552",0.59,1 min 42 sec,Polynomial Vocabulary
65,1810655,"15,143","25,937",0.58,1 min 33 sec,Polynomial Vocabulary
66,1810696,"14,573","25,011",0.58,1 min 42 sec,Polynomial Vocabulary
67,1810721,"14,657","25,164",0.58,1 min 38 sec,Polynomial Vocabulary
68,1810656,"14,232","24,552",0.58,1 min 45 sec,Polynomial Vocabulary
69,1810701,"14,324","24,711",0.58,1 min 38 sec,Polynomial Vocabulary
70,1810719,"14,512","25,030",0.58,1 min 19 sec,Polynomial Vocabulary
71,1810729,"14,504","25,458",0.57,1 min 28 sec,Polynomial Vocabulary
72,1810679,"13,738","24,134",0.57,1 min 33 sec,Polynomial Vocabulary
73,1810711,"13,885","24,491",0.57,1 min 31 sec,Polynomial Vocabulary
74,1810660,"14,290","25,390",0.56,1 min 41 sec,Polynomial Vocabulary
75,1810740,"14,129","25,116",0.56,1 min 39 sec,Polynomial Vocabulary
76,1810715,"13,823","24,800",0.56,1 min 45 sec,Polynomial Vocabulary
77,1810731,"13,583","24,476",0.56,1 min 38 sec,Polynomial Vocabulary
78,1810653,"13,349","24,250",0.55,1 min 26 sec,Polynomial Vocabulary
79,1810686,"13,563","24,653",0.55,1 min 37 sec,Polynomial Vocabulary
80,1810741,"13,648","24,899",0.55,1 min 36 sec,Polynomial Vocabulary
81,1810745,"13,105","24,450",0.54,1 min 36 sec,Polynomial Vocabulary
82,1810743,"13,447","25,168",0.53,1 min 20 sec,Polynomial Vocabulary
83,1810734,"14,076","26,386",0.53,1 min 26 sec,Polynomial Vocabulary
84,1810750,"12,705","24,382",0.52,1 min 35 sec,Polynomial Vocabulary
85,1810720,"12,384","25,376",0.49,1 min 48 sec,Polynomial Vocabulary
86,1810689,"10,453","23,971",0.44,1 min 52 sec,Polynomial Vocabulary
87,1810677,"10,381","24,072",0.43,1 min 40 sec,Polynomial Vocabulary
88,1810728,"10,282","24,322",0.42,1 min 45 sec,Polynomial Vocabulary
89,1810693,"10,200","24,149",0.42,1 min 42 sec,Polynomial Vocabulary
90,1810673,"9,979","23,939",0.42,1 min 51 sec,Polynomial Vocabulary
91,1810739,"9,944","24,209",0.41,1 min 43 sec,Polynomial Vocabulary
92,1810736,"9,627","24,564",0.39,2 min 09 sec,Polynomial Vocabulary
93,1810702,"9,228","23,745",0.39,1 min 42 sec,Polynomial Vocabulary
94,1810675,"9,430","24,293",0.39,1 min 53 sec,Polynomial Vocabulary
95,1810707,"9,320","24,064",0.39,1 min 37 sec,Polynomial Vocabulary
96,1810732,"9,360","24,313",0.39,1 min 37 sec,Polynomial Vocabulary
97,1810735,"9,161","24,063",0.38,1 min 54 sec,Polynomial Vocabulary
98,1810738,"9,209","24,204",0.38,1 min 55 sec,Polynomial Vocabulary
99,1810661,"8,859","23,890",0.37,2 min 01 sec,Polynomial Vocabulary
100,1810666,"7,731","24,015",0.32,2 min 06 sec,Polynomial Vocabulary
